,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
54616,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-59.6355566632,1.43591616157e+12,Andrey,0.55923,1.0,7736-340,1.0,byCorr,25002.0,,1435916076,0.849462365591,-59.6355566632,099-098,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.60970603,55.7287720369
24,,1010,,7736,,,,2G,EDGE,4,,,-63.0,,,0.9764,1.0,7736-1010,1.0,byCorr,,0.82,1435915305,0.933006535948,,099-100,100,99,,,,
49,,1000,,7736,,,,2G,EDGE,3,,,-100.0,,,0.97695,1.0,7736-1000,1.0,byCorr,,0.36,1435851320,0.260330120749,,099-100,100,99,,,,
46,,1000,,7736,,,,2G,EDGE,3,,,-107.0,,,0.9874,1.0,7736-1000,1.0,byCorr,,0.91,1435915305,0.267333077022,,099-100,100,99,,,,
61,,1010,,7736,,,,2G,EDGE,3,,,-106.0,,,0.94936,1.0,7736-1010,1.0,byCorr,,0.7,1435904128,0.334414504325,,100-099,99,100,,,,
63,,1010,,7736,,,,2G,EDGE,3,,,-107.0,,,0.94725,1.0,7736-1010,1.0,byCorr,,0.94,1435915883,0.340877069391,,100-099,99,100,,,,
58238,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,3,1.0,-1.0,-59.1735042799,1.43590428279e+12,Andrey,0.97754,1.0,7736-1000,1.0,byCorr,25002.0,,1435904128,0.940119760479,-59.1735042799,100-099,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.6084787158,55.7185787671
58238,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,3,1.0,-1.0,-62.7959967521,1.43590428279e+12,Andrey,0.97754,1.0,7736-1000,1.0,byCorr,25002.0,,1435904128,0.946107784431,-62.7959967521,100-099,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.6084787158,55.7185787671
58648,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,3,1.0,-1.0,-67.1846367481,1.43591603752e+12,Andrey,0.95784,1.0,7736-1000,1.0,byCorr,25002.0,,1435915883,0.952095808383,-67.1846367481,100-099,99,100,244724959.0,100-099-201507031231-Andrey-move.csv,37.6084272471,55.7187960782
35,,1020,,7736,,,,2G,EDGE,2,,,-109.0,,,0.9858,1.0,7736-1020,1.0,byCorr,,0.91,1435915698,0.183917197452,,101-100,100,101,,,,
44,,160,,7763,,,,2G,EDGE,5,,,-107.0,,,0.98175,1.0,7763-160,1.0,byCorr,,0.59,1435909460,0.293976583439,,151-219,219,151,,,,
43,,160,,7763,,,,2G,EDGE,5,,,-107.0,,,0.98869,1.0,7763-160,1.0,byCorr,,0.5,1435909946,0.301277345471,,151-219,219,151,,,,
41,,160,,7763,,,,2G,EDGE,5,,,-103.0,,,0.97765,1.0,7763-160,1.0,byCorr,,0.68,1435910902,0.265137889688,,151-219,219,151,,,,
91162,1,160,,7763,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-103.0,1.43591563509e+12,Anna,0.95516,1.0,7763-160,1.0,byCorr,25002.0,,1435912001,0.359712230216,-103.0,151-219,219,151,630943405.0,151-219-201507031226-Anna-move.csv,37.6515072297,55.7616219017
78,,640,,7763,,,,2G,EDGE,5,,,-51.0,,,0.97493,1.0,7763-640,1.0,byCorr,,0.83,1435909460,0.89825282631,,151-219,219,151,,,,
82,,640,,7763,,,,2G,EDGE,5,,,-52.0,,,0.9755,1.0,7763-640,1.0,byCorr,,0.81,1435909946,0.912818132591,,151-219,219,151,,,,
90116,1,640,,7763,250.0,2.0,ServiceLog,2G,EDGE,5,1.0,-1.0,-51.0,1.43591052966e+12,Andrey,0.97143,1.0,7763-640,1.0,byCorr,25002.0,,1435910406,0.928057553957,-51.0,151-219,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.6414376337,55.7669009161
77,,640,,7763,,,,2G,EDGE,5,,,-51.0,,,0.97597,1.0,7763-640,1.0,byCorr,,0.88,1435910902,0.876524867063,,151-219,219,151,,,,
80,,640,,7763,,,,2G,EDGE,3,,,-81.0,,,0.9854,1.0,7763-640,1.0,byCorr,,0.84,1435910194,0.520070086015,,219-151,151,219,,,,
80,,640,,7763,,,,2G,EDGE,3,,,-83.0,,,0.98984,1.0,7763-640,1.0,byCorr,,0.76,1435910663,0.53300124533,,219-151,151,219,,,,
123,,160,,7763,,,,2G,EDGE,3,,,-57.0,,,0.97118,1.0,7763-160,1.0,byCorr,,0.97,1435910194,0.944836670179,,219-151,151,219,,,,
118,,160,,7763,,,,2G,EDGE,3,,,-58.0,,,0.98028,1.0,7763-160,1.0,byCorr,,0.98,1435910663,0.944874060981,,219-151,151,219,,,,
