ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z
,ServiceLog,md,1418109617869,Raw,0.8036005,3.2825038,9.997335
,ServiceLog,md,1418109618898,Raw,0.38136974,3.173541,7.3822284
,ServiceLog,md,1418109619929,Raw,0.8036005,3.7047346,7.6137743
,ServiceLog,md,1418109620972,Raw,0.53119355,4.0180025,9.833891
,ServiceLog,md,1418109622003,Raw,0.6810174,3.8681788,8.458236
,ServiceLog,md,1418109623033,Raw,0.4903325,3.8681788,8.036005
,ServiceLog,md,1418109624062,Raw,0.9942854,3.7047346,9.261836
,ServiceLog,md,1418109625092,Raw,1.0215261,3.636633,8.580819
,ServiceLog,md,1418109626123,Raw,0.6401563,3.7047346,8.308413
,ServiceLog,md,1418109627166,Raw,1.1441092,3.7047346,9.302697
,ServiceLog,md,1418109628327,Raw,0.8036005,3.9362805,9.384419
,ServiceLog,md,1418109629341,Raw,0.4903325,3.5957718,9.343558
,ServiceLog,md,1418109630364,Raw,0.10896278,3.214402,9.302697
,ServiceLog,md,1418109631379,Raw,0.7627395,3.636633,8.989429
,ServiceLog,md,1418109632396,Raw,0.7627395,3.9771416,8.036005
,ServiceLog,md,1418109633412,Raw,0.6810174,3.445948,7.995144
,ServiceLog,md,1418109634438,Raw,0.87170225,3.5140498,8.539958
,ServiceLog,md,1418109635465,Raw,0.61291564,3.7864566,9.071152
,ServiceLog,md,1418109636510,Raw,0.9942854,3.9362805,8.839605
,ServiceLog,md,1418109637524,Raw,1.7570249,3.445948,8.267551
,ServiceLog,md,1418109638539,Raw,2.4516625,3.091819,8.771504
,ServiceLog,md,1418109639562,Raw,2.1792557,3.5140498,8.921328
,ServiceLog,md,1418109640606,Raw,5.8976107,3.091819,2.0566726
,ServiceLog,md,1418109641642,Raw,7.7363577,-6.701211,1.0215261
,ServiceLog,md,1418109642693,Raw,7.4230895,-6.932757,0.4903325
,ServiceLog,md,1418109643746,Raw,8.22669,-6.2789803,-0.6401563
,ServiceLog,md,1418109644781,Raw,8.308413,-6.891896,-0.027240695
,ServiceLog,md,1418109645816,Raw,7.995144,-6.578628,-0.29964766
,ServiceLog,md,1418109646854,Raw,8.22669,-6.810174,-0.10896278
,ServiceLog,md,1418109647904,Raw,8.117727,-7.273266,0.19068487
,ServiceLog,md,1418109648940,Raw,7.804459,-7.1506824,0.8308412
,ServiceLog,md,1418109649977,Raw,7.804459,-7.273266,-0.027240695
,ServiceLog,md,1418109651012,Raw,7.9270425,-7.5456724,0.06810174
,ServiceLog,md,1418109652520,Raw,8.349273,-6.701211,-0.027240695
,ServiceLog,md,1418109653555,Raw,7.4639506,-6.537767,-0.7218784
,ServiceLog,md,1418109654593,Raw,7.6546354,-6.701211,0.19068487
,ServiceLog,md,1418109655629,Raw,7.572913,-6.537767,0.14982383
,ServiceLog,md,1418109656667,Raw,7.5456724,-6.891896,-0.14982383
,ServiceLog,md,1418109657701,Raw,8.417375,-7.273266,0.40861043
,ServiceLog,md,1418109658742,Raw,7.572913,-6.891896,0.5720546
,ServiceLog,md,1418109659782,Raw,7.8861814,-7.2324047,0.14982383
,ServiceLog,md,1418109660816,Raw,7.6546354,-6.742072,0.5720546
,ServiceLog,md,1418109661856,Raw,7.7363577,-7.1506824,0.21792556
,ServiceLog,md,1418109662891,Raw,7.6954966,-6.578628,-0.40861043
,ServiceLog,md,1418109663926,Raw,7.804459,-6.769313,-0.25878662
,ServiceLog,md,1418109664965,Raw,7.6954966,-6.510526,-0.25878662
,ServiceLog,md,1418109666007,Raw,7.995144,-7.1234417,0.5720546
,ServiceLog,md,1418109670839,Raw,7.572913,-7.082581,0.40861043
,ServiceLog,md,1418109672589,Raw,7.5456724,-6.810174,-0.8036005
,ServiceLog,md,1418109673616,Raw,7.763598,-6.932757,0.25878662
,ServiceLog,md,1418109674634,Raw,7.3822284,-6.769313,-0.38136974
,ServiceLog,md,1418109675656,Raw,8.22669,-7.763598,0.4903325
,ServiceLog,md,1418109676678,Raw,7.6137743,-7.1234417,0.38136974
,ServiceLog,md,1418109677706,Raw,7.4230895,-7.3549876,-0.0
,ServiceLog,md,1418109678728,Raw,7.572913,-7.2324047,-0.0
,ServiceLog,md,1418109679749,Raw,7.5456724,-7.1506824,0.19068487
,ServiceLog,md,1418109680768,Raw,7.504812,-6.851035,0.14982383
,ServiceLog,md,1418109681787,Raw,7.2324047,-7.1234417,0.10896278
,ServiceLog,md,1418109685765,Raw,7.9679036,-6.851035,-0.19068487
,ServiceLog,md,1418109686785,Raw,7.3822284,-7.3141265,-0.3405087
,ServiceLog,md,1418109687806,Raw,7.3822284,-7.5456724,0.25878662
,ServiceLog,md,1418109688831,Raw,7.3822284,-6.578628,-0.25878662
,ServiceLog,md,1418109689861,Raw,7.9270425,-7.3549876,-0.21792556
,ServiceLog,md,1418109690880,Raw,7.7363577,-6.769313,-0.4903325
,ServiceLog,md,1418109691914,Raw,7.572913,-7.3822284,-0.53119355
,ServiceLog,md,1418109692937,Raw,7.3822284,-6.9599977,-0.10896278
,ServiceLog,md,1418109693975,Raw,8.267551,-6.9599977,-0.61291564
,ServiceLog,md,1418109695020,Raw,8.185829,-6.66035,-0.6401563
,ServiceLog,md,1418109696064,Raw,7.7363577,-7.000859,0.06810174
,ServiceLog,md,1418109697103,Raw,7.3549876,-6.9599977,0.06810174
,ServiceLog,md,1418109698145,Raw,7.7363577,-6.66035,0.027240695
,ServiceLog,md,1418109699195,Raw,8.117727,-7.1234417,-0.21792556
,ServiceLog,md,1418109700237,Raw,7.7363577,-6.510526,-0.027240695
,ServiceLog,md,1418109701271,Raw,7.9679036,-6.810174,0.38136974
,ServiceLog,md,1418109702324,Raw,7.3822284,-6.851035,0.40861043
,ServiceLog,md,1418109703359,Raw,7.8861814,-7.04172,0.06810174
,ServiceLog,md,1418109704385,Raw,7.9270425,-6.932757,0.53119355
,ServiceLog,md,1418109705429,Raw,7.273266,-7.273266,0.14982383
,ServiceLog,md,1418109706467,Raw,7.5456724,-7.1506824,-0.44947147
,ServiceLog,md,1418109707510,Raw,7.504812,-7.1234417,-0.40861043
,ServiceLog,md,1418109708555,Raw,7.3549876,-7.000859,-0.10896278
,ServiceLog,md,1418109709599,Raw,7.1915436,-7.1506824,0.29964766
,ServiceLog,md,1418109710620,Raw,7.84532,-6.619489,-0.21792556
,ServiceLog,md,1418109711663,Raw,7.763598,-6.769313,-0.19068487
,ServiceLog,md,1418109712703,Raw,7.804459,-6.510526,-0.0
,ServiceLog,md,1418109713740,Raw,7.84532,-3.405087,7.5456724
,ServiceLog,md,1418109714787,Raw,2.1383946,1.525479,9.220976
,ServiceLog,md,1418109715857,Raw,1.0215261,2.6423476,9.112013
,ServiceLog,md,1418109717036,Raw,0.44947147,3.9771416,8.962189
,ServiceLog,md,1418109718290,Raw,0.14982383,3.6774938,8.3765135
,ServiceLog,md,1418109719326,Raw,1.2258313,3.5140498,7.273266
,ServiceLog,md,1418109720385,Raw,0.5720546,4.167826,8.308413
,ServiceLog,md,1418109721418,Raw,0.7218784,4.2904096,8.267551
,ServiceLog,md,1418109722438,Raw,0.9125633,4.5900574,8.308413
,ServiceLog,md,1418109723457,Raw,0.8036005,4.2904096,8.798744
,ServiceLog,md,1418109724480,Raw,0.53119355,3.7455957,8.349273
,ServiceLog,md,1418109725517,Raw,0.8036005,4.2495484,8.648921
,ServiceLog,md,1418109726555,Raw,0.40861043,4.2904096,8.539958
,ServiceLog,md,1418109727588,Raw,0.7627395,4.399372,8.962189
2101,Кунцевская (АПК) 1,md,1418109727679,Raw,0.6401563,4.0588636,8.499097
,ServiceLog,md,1418109728623,Raw,0.8308412,3.7047346,8.839605
,ServiceLog,md,1418109729654,Raw,0.38136974,4.167826,8.60806
,ServiceLog,md,1418109730689,Raw,0.87170225,4.0861044,8.349273
,ServiceLog,md,1418109731717,Raw,0.95342433,4.167826,7.995144
,ServiceLog,md,1418109732745,Raw,0.9125633,4.1269655,8.036005
,ServiceLog,md,1418109733779,Raw,0.95342433,4.3585114,8.308413
,ServiceLog,md,1418109734815,Raw,0.8036005,4.399372,8.185829
,ServiceLog,md,1418109735849,Raw,0.87170225,4.630918,8.267551
,ServiceLog,md,1418109736882,Raw,1.0215261,4.5900574,8.117727
,ServiceLog,md,1418109737917,Raw,0.8036005,4.508335,8.117727
,ServiceLog,md,1418109738952,Raw,0.7627395,4.5900574,8.22669
,ServiceLog,md,1418109739983,Raw,1.1849703,4.508335,8.22669
,ServiceLog,md,1418109741016,Raw,1.0215261,4.3176503,8.117727
,ServiceLog,md,1418109742046,Raw,1.0623871,4.399372,8.267551
,ServiceLog,md,1418109743081,Raw,1.253072,4.3176503,8.417375
,ServiceLog,md,1418109744109,Raw,1.1032481,4.2495484,8.580819
,ServiceLog,md,1418109745140,Raw,0.95342433,4.5900574,8.117727
,ServiceLog,md,1418109746172,Raw,0.29964766,4.8216033,7.9679036
2102,Кунцевская (АПК) 2,md,1418109746453,Raw,0.40861043,4.862464,8.076866
